指标,数值
总数据包,421
总字节数,116229
数据包速率,0.00 pps
字节速率,0.00 Bps

协议分布
TCP,328
UDP,64
DNS,27
Unknown,2

完整数据包列表
时间戳,源IP,目标IP,源端口,目标端口,协议,长度(字节)
2025-10-08 23:08:55.680,192.168.31.159,141.147.19.58,52870,35418,UDP,67
2025-10-08 23:08:55.715,192.168.31.159,46.232.56.131,9392,443,TCP,55
2025-10-08 23:08:55.783,46.232.56.131,192.168.31.159,443,9392,TCP,60
2025-10-08 23:08:55.783,192.168.31.159,46.232.56.131,9392,443,TCP,54
2025-10-08 23:08:55.788,46.232.56.131,192.168.31.159,443,9392,TCP,66
2025-10-08 23:08:55.945,141.147.19.58,192.168.31.159,35418,52870,UDP,70
2025-10-08 23:08:56.100,59.82.43.29,192.168.31.159,80,1293,TCP,60
2025-10-08 23:08:56.101,192.168.31.159,59.82.43.29,1293,80,TCP,54
2025-10-08 23:08:56.101,192.168.31.159,59.82.43.29,1293,80,TCP,54
2025-10-08 23:08:56.116,59.82.43.29,192.168.31.159,80,1293,TCP,60
2025-10-08 23:08:56.221,192.168.31.159,23.49.5.206,8781,443,TCP,55
2025-10-08 23:08:56.250,192.168.31.159,46.232.56.131,4884,443,TCP,66
2025-10-08 23:08:56.335,46.232.56.131,192.168.31.159,443,4884,TCP,66
2025-10-08 23:08:56.335,192.168.31.159,46.232.56.131,4884,443,TCP,54
2025-10-08 23:08:56.335,192.168.31.159,46.232.56.131,4884,443,TCP,570
2025-10-08 23:08:56.422,46.232.56.131,192.168.31.159,443,4884,TCP,60
2025-10-08 23:08:56.436,192.168.31.159,113.240.75.249,4868,443,TCP,55
2025-10-08 23:08:56.457,113.240.75.249,192.168.31.159,443,4868,TCP,66
2025-10-08 23:08:56.486,192.168.31.159,223.5.5.5,55796,53,DNS,94
2025-10-08 23:08:56.490,223.5.5.5,192.168.31.159,53,55796,DNS,238
2025-10-08 23:08:56.517,192.168.31.159,46.232.56.131,1407,443,TCP,55
2025-10-08 23:08:56.598,46.232.56.131,192.168.31.159,443,1407,TCP,60
2025-10-08 23:08:56.840,192.168.31.159,140.174.52.31,52883,35795,UDP,67
2025-10-08 23:08:56.898,192.168.31.159,152.69.220.212,52881,36224,UDP,67
2025-10-08 23:08:56.982,192.168.31.159,46.232.56.131,1408,443,TCP,55
2025-10-08 23:08:57.010,140.174.52.31,192.168.31.159,35795,52883,UDP,74
2025-10-08 23:08:57.065,46.232.56.131,192.168.31.159,443,1408,TCP,60
2025-10-08 23:08:57.221,192.168.31.159,23.49.5.206,8781,443,TCP,55
2025-10-08 23:08:57.264,152.69.220.212,192.168.31.159,36224,52881,UDP,68
2025-10-08 23:08:57.315,192.168.31.159,142.54.189.131,52863,37955,UDP,67
2025-10-08 23:08:57.459,192.168.31.159,113.240.75.249,4868,443,TCP,55
2025-10-08 23:08:57.481,113.240.75.249,192.168.31.159,443,4868,TCP,66
2025-10-08 23:08:57.532,142.54.189.131,192.168.31.159,37955,52863,UDP,68
2025-10-08 23:08:57.606,192.168.31.159,46.232.56.131,4850,443,TCP,54
2025-10-08 23:08:57.610,192.168.31.159,46.232.56.131,4891,443,TCP,66
2025-10-08 23:08:57.685,46.232.56.131,192.168.31.159,443,4891,TCP,66
2025-10-08 23:08:57.687,192.168.31.159,46.232.56.131,4891,443,TCP,54
2025-10-08 23:08:57.687,192.168.31.159,46.232.56.131,4891,443,TCP,666
2025-10-08 23:08:57.712,192.168.31.159,180.110.193.149,8329,8080,TCP,207
2025-10-08 23:08:57.724,46.232.56.131,192.168.31.159,443,4850,TCP,1490
2025-10-08 23:08:57.724,192.168.31.159,46.232.56.131,4850,443,TCP,54
2025-10-08 23:08:57.730,180.110.193.149,192.168.31.159,8080,8329,TCP,134
2025-10-08 23:08:57.737,46.232.56.131,192.168.31.159,443,4884,TCP,1490
2025-10-08 23:08:57.738,46.232.56.131,192.168.31.159,443,4884,TCP,1490
2025-10-08 23:08:57.738,46.232.56.131,192.168.31.159,443,4884,TCP,717
2025-10-08 23:08:57.739,192.168.31.159,46.232.56.131,4884,443,TCP,66
2025-10-08 23:08:57.759,46.232.56.131,192.168.31.159,443,4891,TCP,60
2025-10-08 23:08:57.769,46.232.56.131,192.168.31.159,443,4891,TCP,1490
2025-10-08 23:08:57.770,46.232.56.131,192.168.31.159,443,4891,TCP,1490
2025-10-08 23:08:57.770,46.232.56.131,192.168.31.159,443,4891,TCP,1490
2025-10-08 23:08:57.770,46.232.56.131,192.168.31.159,443,4891,TCP,718
2025-10-08 23:08:57.771,192.168.31.159,46.232.56.131,4891,443,TCP,54
2025-10-08 23:08:57.771,192.168.31.159,180.110.193.149,8329,8080,TCP,54
2025-10-08 23:08:57.771,192.168.31.159,46.232.56.131,4891,443,TCP,134
